flow_id,received_time,started_time,completed_time,received_to_started_seconds,started_to_completed_seconds,total_duration_seconds,FileName,AssetId,AssetCreationStart,AssetCreationEnd,NegotiationStartedAt,NegotiationEndedAt,TransferID
ea1699b6-c7ec-4424-8765-8677897f251f,2025-07-08T20:56:17.220906,2025-07-08T20:56:18.178333,2025-07-08T20:56:18.407613,0.957,0.229,1.187,fakefile_10MB.txt,test-asset-1752008161706-fakefile_10MB-txt,2025-07-08T21:56:01.706732268,2025-07-08T21:56:01.877583362,2025-07-08T21:56:11.879120223,2025-07-08T21:56:16.220523694,ea1699b6-c7ec-4424-8765-8677897f251f
c8065659-e847-4059-b5a8-57e27fd25523,2025-07-08T20:56:17.204456,2025-07-08T20:56:18.171068,2025-07-08T20:56:18.990458,0.967,0.819,1.786,fakefile_100MB.txt,test-asset-1752008161706-fakefile_100MB-txt,2025-07-08T21:56:01.706726907,2025-07-08T21:56:01.877780436,2025-07-08T21:56:11.879020284,2025-07-08T21:56:16.220579218,c8065659-e847-4059-b5a8-57e27fd25523
