flow_id,received_time,started_time,completed_time,received_to_started_seconds,started_to_completed_seconds,total_duration_seconds
060871fc-7d1c-4d87-aaec-5728fbabe05d,2025-07-08T09:46:00.999894,2025-07-08T09:46:02.624136,2025-07-08T09:46:02.992790,1.624,0.369,1.993
42dccc21-29c1-4d72-981f-6856f70de032,2025-07-08T09:46:22.659661,2025-07-08T09:47:08.078928,2025-07-08T09:47:08.232628,45.419,0.154,45.573
03dbafbf-2b29-4e99-90d6-f6ea7a3cfbd0,2025-07-08T09:46:44.335892,2025-07-08T09:47:08.088845,2025-07-08T09:47:08.278364,23.753,0.19,23.942
ea1a3897-f523-40e5-a4c6-f5914a7e9910,2025-07-08T20:51:41.853032,2025-07-08T20:51:42.081265,2025-07-08T20:51:42.258873,0.228,0.178,0.406
a49e53bd-77c0-4279-99a8-9ef88b1c3d58,2025-07-08T20:52:56.186384,2025-07-08T20:52:59.655057,2025-07-08T20:52:59.765471,3.469,0.11,3.579
ea1699b6-c7ec-4424-8765-8677897f251f,2025-07-08T20:56:17.220906,2025-07-08T20:56:18.178333,2025-07-08T20:56:18.407613,0.957,0.229,1.187
c8065659-e847-4059-b5a8-57e27fd25523,2025-07-08T20:56:17.204456,2025-07-08T20:56:18.171068,2025-07-08T20:56:18.990458,0.967,0.819,1.786
